English_Name,Chinese_Name,Personal_Name,Specialty,Positivity,Origin,Culture,Location,Ambiance,Pun_Creative,Romanized,Comments
Shanghai Cuisine,上海小馆,0,0,0,0,0,1,0,0,0,
Shanghai Fresh,十八鲜,0,0,1,0,0,1,0,0,0,
Kao Barbecue,久经烤焰,0,0,0,0,0,0,0,0,1,
Taiwan Cafe ,海之味,0,0,0,0,0,1,0,0,0,
Hunan Cuisine ,异国他湘,0,0,0,0,0,1,0,0,0,
House of Chang,藤王馔,1,0,0,0,0,0,1,0,0,
Bun's House,四川冒菜,0,0,0,0,0,1,1,0,0,
KungFu MalaTang,汤功夫麻辣烫·麻辣拌,0,1,0,0,1,0,0,0,0,
Spicy World,大舌头,0,1,0,0,0,0,1,0,0,
Flame Hot Pot & Sushi,一品川,0,1,0,0,0,0,0,0,0,
Boston Soup Dumplings,烹小鲜,0,1,1,0,0,1,0,0,0,
Six Po Hot Pot,六婆串串香,1,1,0,0,0,0,0,0,0,
Kaojiu Restaurant,烤究,0,0,0,0,0,0,0,0,1,
Tasty Pot,味鼎,0,0,1,0,0,0,0,0,0,
Golden Garden,金山饭店,0,0,1,0,0,0,1,0,0,
Taste House,百味轩,0,0,0,0,0,0,1,0,0,
Sumiao Hunan Kitchen,素描湘,0,0,0,0,0,1,1,1,0,
District Kitchen,饺子馆,0,0,0,0,0,0,1,0,0,
BOS' SiChuan Taste,一碟川菜馆,0,0,0,0,0,1,0,0,0,
Noah's Kitchen,亚轩十八,1,0,0,0,0,0,1,0,0,
Lu Fu Zi,卤夫子,0,0,0,0,0,0,0,0,1,
Grill Fish,烤鱼之家,0,1,0,0,0,0,0,0,0,
Brother Crab Pot,哥俩肉蟹煲,0,1,0,0,0,0,0,0,0,
Hong Kong Style Hot pot,香满园打边炉港式火锅,0,1,0,0,0,1,0,0,0,
China Gourmet Restaurant,味中味,0,0,0,1,0,0,0,0,0,
Dolphin Bay,海豚湾,0,0,0,0,0,0,1,0,0,
Mala Restaurant,一麻一辣,0,1,0,0,0,0,0,0,0,
Supreme BBQ,尚品烤吧,0,1,1,0,0,0,0,0,0,
Yunnan Kitchen,彩云之南,0,0,0,0,0,1,1,0,0,
New China,新中国,0,0,0,1,0,0,0,0,0,
Yummee,渔米,0,0,0,0,0,0,0,0,1,
Peking House,财富,0,0,0,0,0,1,1,0,0,
Myers+Chang,N/A,0,0,0,0,0,0,0,0,0,
Dumpling Palace,南北和,0,1,0,0,0,0,1,0,0,
Empire Garden Restaurant,帝苑大酒楼,0,0,1,0,0,0,1,0,0,
Wing's Kitchen,小南阁,1,0,0,0,0,0,1,0,0,
Jade Garden,翠苑海鲜酒楼,0,0,1,0,0,0,1,0,0,
The Q,小绵羊火锅,1,0,0,0,0,0,0,0,0,
Clay Pot Cafe,旺角,0,1,0,0,0,0,1,0,0,
Double Chin Modern Asian Restaurant,为食家,0,0,0,1,0,0,0,0,0,
Royal East,五月花,0,0,1,1,0,0,0,0,0,
Ding Ho,顶好快餐,0,0,0,0,0,0,0,0,1,
Liaoxiang Rice Noodle,撩香米线,0,1,0,0,0,0,0,0,1,
Gene's Chinese Flatbread Cafe,老西安,1,1,0,0,0,0,1,0,0,
Hong Kong Eatery,香港小食,0,0,0,0,0,1,0,0,0,
Wai Wai,威威,1,0,0,0,0,0,0,0,0,
Silk Road Uyghur Cuisine,丝绸之路新疆美食,0,1,0,0,1,0,0,0,0,
Peach Farm,小桃园,0,0,0,0,0,0,1,0,0,
Brigham Circle Chinese Food,N/A,0,0,0,1,0,1,0,0,0,
Great Wok Restaurants,江东楼,0,0,1,0,0,0,0,0,0,
Su Su Gourmet,素素小食,1,0,0,0,0,0,0,0,0,
Mae Asian Eatery,N/A,1,0,0,1,0,0,0,0,0,
Cilantro Chinese Cuisine,御堂春,0,0,0,1,0,0,0,0,0,
New Golden Gate Seafood,新金门海鲜酒家,0,1,1,0,0,0,0,0,0,
Jumbo Seafood,珍宝轩,0,1,0,0,0,0,0,0,0,
Beijing Cafe,京味,0,0,0,0,0,1,1,0,0,
Winsor Dim Sum Café,温莎点心美食,1,1,0,0,0,0,1,0,0,
Great Taste Bakery & Restaurant,美味轩,0,0,1,0,0,0,0,0,0,
Xiang Yu China Bistro,湘遇,0,0,0,1,0,0,1,0,1,
Young Kong,邕江,0,0,0,0,0,0,0,0,1,
Mei Mei Dumplings,N/A,1,1,0,0,0,0,0,0,0,
Canton House,广东楼,0,0,0,0,0,1,1,0,0,
Hei La Moon Restaurant,喜临门大酒楼,0,0,0,0,0,0,0,0,1,
Gaga Seafood Restaurant,嘉嘉海鲜菜馆,1,1,0,0,0,0,0,0,0,
Lucky Boston Chinese,N/A,0,0,1,1,0,1,0,0,0,
Dragon Bowl,N/A,0,0,0,0,1,0,0,0,0,
New Ho Toy,好彩,0,0,0,0,0,0,0,0,1,
Food Wall Chinese Restaurant,福城,0,0,0,1,0,0,0,0,0,
New Moon Villa Restaurant,新月宫海鲜酒家,0,0,0,0,0,0,1,0,0,
Lucky Cafe,陆记明炉烧腊,0,0,1,0,0,0,1,0,0,
Xi’An Rougamo,姑娘手西安小吃,0,1,0,0,0,1,0,0,0,
Chung Wah,中华,0,0,0,0,0,0,0,0,1,
Mandarin Restaurant,华明,0,0,0,1,0,0,0,0,0,
Billy Tse,满福轩,1,0,0,0,0,0,0,0,0,
HaoShiGuang,好食光,0,0,0,0,0,0,0,0,1,
Dragon Star Chinese Restaurant,龙星,0,0,0,1,1,0,0,0,0,
Hong Kong Harbor,海港楼,0,0,0,0,0,1,1,0,0,
QingDao Garden,青岛园,0,0,0,0,0,1,1,0,0,
Oriental,N/A,0,0,0,1,0,0,0,0,0,
Hong Kong Cafe,香港美食,0,0,0,0,0,1,1,0,0,
Ten Second Yunnan Rice Noodles,十秒到云南米线,0,1,0,0,0,1,0,0,0,
Spicy Hunan Kitchen,湘私馆,0,1,0,0,0,1,1,0,0,
Friendship BBQ Boston,友情客串,0,1,1,0,0,1,0,0,0,
Chinese Dragon,东方红,0,0,0,1,1,0,0,0,0,
Joyful Garden,聚福海鲜酒楼,0,0,1,0,0,0,1,0,0,
Great Chef Chinese Food at Day Square,渪圖,0,0,1,1,0,1,0,0,0,
Wu Er by WOW Barbecue,无二烤肉,0,1,0,0,0,0,0,0,1,
The Kosher Wok,N/A,0,0,0,0,0,0,0,0,0,Other
Bess's Cafe,N/A,1,0,0,0,0,0,1,0,0,
Teriyaki Yummy,N/A,0,1,1,0,0,0,0,0,0,
Our Zone,第五空间 家常川菜,0,0,0,0,0,0,0,0,0,Other
Zoe’s Chinese Restaurant,风味亭,1,0,0,1,0,0,0,0,0,
Dragon Chef,N/A,0,0,0,0,1,0,0,0,0,
Rose's Chinese Restaurant,花苑,1,0,0,1,0,0,0,0,0,
Tin Tin Buffet,N/A,1,0,0,0,0,0,0,0,0,
MDM Noodles,面对面,0,1,0,0,0,0,0,0,0,
Dumpling Kitchen,心厨,0,1,0,0,0,0,1,0,0,
China Garden Restaurant,顿嘉,0,0,0,1,0,0,1,0,0,
Chow N Joy,厨乐,0,0,1,0,0,0,0,0,0,
Changsho,常熟,0,0,0,0,0,0,0,0,1,
China House,中国楼,0,0,0,1,0,0,1,0,0,
Golden Place,锦煌,0,0,1,0,0,0,1,0,0,
Szechuan Delight,N/A,0,1,1,0,0,1,0,0,0,
Asian Paradise,亚洲城,0,0,0,1,0,0,1,0,0,
Sun On Chinese Food,N/A,0,0,1,1,0,0,0,0,1,
Double Dragon Inn,双龙,0,0,0,0,1,0,1,0,0,
Fortune Cookie Chinese Restaurant to go,N/A,0,0,1,1,1,0,0,0,0,
Kung Fu Dumplings,功夫饺子,0,1,0,0,1,0,0,0,0,
Lee’s Dynasty,N/A,1,0,1,0,0,0,0,0,0,
Chee's Chinese Cuisine,N/A,1,0,0,1,0,0,0,0,0,
Chopsticks,N/A,0,0,0,0,1,0,0,0,0,
Oriental Buffet,N/A,0,0,0,1,0,0,0,0,0,
Panda Garden,熊家园,0,0,0,0,1,0,1,0,0,
Red Apple,红苹果,0,0,0,0,0,0,0,0,0,Other
Orient Taste,N/A,0,0,0,1,0,0,0,0,0,
The East Asian Cuisine,龙,0,0,0,1,0,0,0,0,0,
Great Wall Chinese Restaurant,N/A,0,0,1,1,1,0,0,0,0,
Koi,N/A,0,0,0,0,0,0,0,0,1,
China Gourmet,N/A,0,0,0,1,0,0,0,0,0,
Zeno's II,N/A,1,0,0,0,0,0,0,0,0,
Park's Asian Bistro & Sushi Bar,御膳房,1,0,0,1,0,0,1,0,0,
China Wok Chinese Restaurant,N/A,0,0,0,1,0,0,0,0,0,
Golden China Restaurant,N/A,0,0,1,1,0,0,0,0,0,
Panda Garden Chinese Restaurant,百里香,0,0,0,1,1,0,1,0,0,
West Lake Gourmet Chinese Restaurant,西湖,0,0,0,1,1,1,0,0,0,
Luau Hale Restaurant,N/A,0,0,0,0,0,0,0,0,0,Other
The Wok,N/A,0,0,0,0,0,0,0,0,0,Other
Ce Ce's,N/A,1,0,0,0,0,0,0,0,0,
Tea House,N/A,0,0,0,0,1,0,1,0,0,
New Fortune,鸿运,0,0,1,0,0,0,0,0,0,